url,created_at,content,comment_count,hahas,likes,sads,loves,cares,wows,angries,share_count
https://www.facebook.com/xalo.zodiac/posts/pfbid0CWRr1Gigfyqoab5o1UeSFubdAorRrrbcnoy4P9R4APV7NLZDJj7oUhLwvzKV4Wful?__cft__[0]=AZUOxYkeJ9VbHbGaBF81kXmIlvfuqn7i7wfuCcS0zQnhln0A222c02qhiUOPFCo5bL5ijpOyAiqP2ewCUbfFeBQNAcDTSRg08X--lnW75ZW_67l58g8Ns_zDwuiuqvg1wDoSIPvn-Z9F3s6Cgx9ycc4p0Yx5dXDQQaf4Q8mJB6N5GhMPOEu6BsoQZD_Th6AHKdIkPcWEGKhz1PhyCgwhj9KG&__tn__=%2CO%2CP-R,1701529381,[Series] Review trải nghiệm yêu đương với Ma Kết,4293,1655,4245,172,738,49,19,3,523
https://www.facebook.com/xalo.zodiac/posts/pfbid02XiNY1jPvHmpLmB5gkYttbFToBThHAxpaEbAzN7r2zye6QMaUYFokgaAdRZMZH1csl?__cft__[0]=AZVKSdEgTZ2Its9zTXy039sM5TS7x6zO1jexOtXsajwe_VMGQGo0Iylmq_IRJxKBn2ryo0_MwAtePOv8mN5UO60LSbF8SjwpU2PM2bqUySr9KtipgeQI6AE1ZDX7aLipJ6_YAqwxKbEV03EL40EoSrWO7-oIYPpT_8wwTN1_GMdkBtp-7NgHCXMiNTxYqO7bQ6uMJMayrRiITGrEbP6mDa9W&__tn__=%2CO%2CP-R,1701440072,[Series] Review trải nghiệm yêu đương với Bạch Dương,4769,1958,4450,705,239,39,31,5,581
https://www.facebook.com/xalo.zodiac/posts/pfbid02tNWsKxxFbSyUG5gAEWBZ5TuH9AG45RYHoekbm8RuTbm5LKtL3i3QcqjF3Fw9s5BCl?__cft__[0]=AZWLPxt1npSMSMKfPPgkr_Z1IVl_eEthgd3lANhRMvPAB36de2VixbOY9PNqnr7UjaMSF8GSf1sO-mVqfvBrlmwkaf7ltd5yzpt79q1vFwNf63P0pp9B-6DHBtPDt7YK8-0_e6ZPpaoVvZoI0sYWrFbj4PAOkHJGIAqAePNjHFkvvWYSD3HtIWd5Tj9cE8M82VmQVcRJXA0F9KlFAYDFG5TD&__tn__=%2CO%2CP-R,1701360557,T tưởng t ra BTVN rồi bây nộp pài á bây ơi ,173,9684,4280,2019,63,16,16,0,65
https://www.facebook.com/xalo.zodiac/posts/pfbid02jXms4SUNu1N6MsSGBgCFQpsHUQ1Ni3pyKxAXfQ4ohZsRrf7vfZvR8ueLSdy7GgFkl?__cft__[0]=AZUlBf9cfZDWDpHxZvO7d4kaCxQ9HjEhNcCpI2P3PBz6F4ZMjBfDzG-sam2Vk3Yu4QxKDnoNKJTj7IPwGXX3AEgRuYea0dqqq1-18wdHnUD9L2QhEztu7pGwDm0_MEx25z-07FtHNF84wWXIoQEAxl93USVPsqR3m7IZFsiW9RGVEIgC42OrmupbJ76GHtZcfQwww3CsYQ1qYIgwmFgeYfas&__tn__=%2CO%2CP-R,1701358586,"Drama “Mình tính không bằng người ta tính (Phần 2)” 
#thienbinh
#zodiac
-----
Miao bé tí",234,1807,1495,69,58,8,3,2,85
https://www.facebook.com/xalo.zodiac/posts/pfbid02i7KZ3ReXykqYJKidWvNi3r42WDcsrkz7VStkqPStyopaMwXm7ymKydpw32Gdr4h2l?__cft__[0]=AZWGJsLKYlykH-Dstv_bNr4s9uBovlZXW75Xs725OZFrnL-0mZsr4renukTcsk2SsmfxBnedw062GU9yVOpMZs_ZCi6hnXnOhAel1Rt2NolZCxLAyB8cKaCg_qo-5AECbaafiCNoLCsF8ungFoipg9iB4RlriM2_ho3LjShIS89J1DMnXGruix4cWzJsnI8LR5O3fiTkpTIvXUxGlKHS2z6g&__tn__=%2CO%2CP-R,1701350870,"Mê cái cách họ tiêu tiền :)))
#zodiac #xalozodiac",434,2807,2200,788,77,12,3,0,117
https://www.facebook.com/xalo.zodiac/posts/pfbid02WfS1YAyUabhSX9cRQYup53M1tk4McXAWRuCBH5r76qxAj1G64gGDLqsmkgkMEUbZl?__cft__[0]=AZVowJgtb5PGPsf88sXY0gSl7-InoVGqTLU0lphoclSQ75XJEp0lpju0cJEb7IYREOOjIH60wWDY4lqLQlgf3orX8m77apu--c7pk-Q-7srr5oJn-Bp6eYtWkQJWbqRdo9lPMc9Y6ZMnT7IfuWs5VEogmacYMsg9sb-Bu4b4lWHp_VmV4mZMIbSnFo3N8I-DW8k1fsh9uGEr9DAPdFeEF3OK&__tn__=%2CO%2CP-R,1701264892,Flex Spotify Wrapped của 12 cung hoàng đạo,3174,1633,3900,43,164,21,2,0,168
https://www.facebook.com/xalo.zodiac/posts/pfbid0bAZ8jD5sao5Cxjr9cwbMHaJ5kLBcoiQfrVdqGtyoCLoSjvWs7Z7GTWncFPh9EJHNl?__cft__[0]=AZUAwcp0LKeIoUokZpRlrG-gSPjkgCHfHEYLInknFaN_4jwN_nWJWN40XUpbJEU9mpa-o48iQDhgbztlIbWp135IpaXf_E3Mh2CH2b4vHb839Vui725SUi3l6GQNVzE3fRnxoArEy_cowKQEIRNHw-uCw8Sz6H1YjcbGUXQ5GQdpS03n3ngiJjvPuk9sfy3Jnzd4F2zbKlRauDH3sNpmVHmZ&__tn__=%2CO%2CP-R,1701262205,"Khi còn trẻ, cung Lửa đi học về là set kèo đi quậy, đi chơi banh nóc. Còn cung Đất ở trong nhà chăn ấm nệm êm.
Khi lớn lên, cung Lửa đi làm về là chỉ muốn nằm trên giường bấm điện thoại, chả muốn làm gì khác. Còn cung Đất thì skincare, chăm lo ăn uống, đọc sách,...
Cái này người ta gọi là thời thế thay đổi ",844,4150,5135,295,545,36,9,0,255
https://www.facebook.com/xalo.zodiac/posts/pfbid0KFBZgRAJNuxmK9FynsxrgMuHFwS4uvD8XxL1dF6x1nqfroCpQ3wcupq9rxDV8hGJl?__cft__[0]=AZUTpo17CzNIekZOPpSO4b7qWhD7dq3CcuGzrNc5FcUdULzMY0UYQwGjoZ5tYbbODkIa8mZ-YW4qVDHmLr4qgewH7Obp-WbLuyLvL4Ot5sK1EwWpFZ7g12GWCKmYLDOYZPu_r3Q7mT3F7elHyo44N41jRrEje-xMgyv_X7pO6ku_U3gckBNS5a1FD-dKqg3-gur_HENDLK-ZL51rpt9Ss9_7&__tn__=%2CO%2CP-R,1701241467,"Nếu bạn làm tụi trội Khí đủ hứng thú trên 1 tháng, bạn winnnn 
#trasuaolong",1868,4390,4831,1060,150,24,40,0,417
https://www.facebook.com/xalo.zodiac/posts/pfbid02VQG8VcwaQyAmZwyzp82VrmW6fvEdmXi8hL6YSuTEsohF1dHqum9TUQw6CxPadYxcl?__cft__[0]=AZXUtpkAO87CiV0hZ4uDvS8nOk2CLSRuuf0pq-QWVxdyZMBNMKLX8D5o2vTk6t4l1wANN7KkeEdIt7Lhz2x2Rnq_AQ6l_GyXFb5NkNk1hmp3BJhAHNjwLptMa6_LOweEWuMy81Mlw_eBaYGv6AOmkBd_fLXV_tu4yiWA0LASEyOrQXAs50sOXhx1N8k7pO-0tQ490dfGLCcxKrmjuWFgDPED&__tn__=%2CO%2CP-R,1701191069,Không ai flirt mượt bằng tụi cung Đất =)),3060,4519,6141,1818,154,38,75,4,673
https://www.facebook.com/xalo.zodiac/posts/pfbid0Um8ZowENCVgm6ukbKYowStoVX9ocqj6eKRgDXJE46QYYWVDRvHrjhBPF7kaom6L2l?__cft__[0]=AZVz1nBqepISib0r-vIu3B7nI_UtblmHr-J5lPmhT0cmkIrb65hc-DwSHK27iwwEPU4yyHbM8xtawsFS3kCgJMGeFaxJ5ld07E1rO_4FY1w0UXykEezNFIy_ONoIgwbGiLOlSqSzjLFY_V5iO19F86eDhdheEBPzV3CKY_3N1dIuweV6puyCt6TF9Vz47p1C-OcL55Ssd_fs5tYmP2fHjEUe&__tn__=%2CO%2CP-R,1701183514,[Series] Review trải nghiệm yêu đương với Song Tử,4687,1855,4451,256,549,41,27,7,533
https://www.facebook.com/xalo.zodiac/posts/pfbid02JtYNJ8FqKpgvkcbzrSLX3HVv8jvKSVtpvT1gJznjwhRQpreQSnqSthifzSpNiLgCl?__cft__[0]=AZU-h4YPg_aPaFDnBogl1CxknNqoaUdwbCYXgsOzMhtpZjSBPXZljm69ednND2ItL0NYGw_Qgm2ske5Qwa45mpeqX4OnJIop_SEjd7GAL6FRV4jQqY3yV5sMQZVmxUsvpzsTNTX5hRGt3yhBmP9IHRrhSyQ6rp7viVknhtpCh6pmxxhf6a1kuEqZyEvp2tERFFBC9-P4vzq2PsM_8b25VHzl&__tn__=%2CO%2CP-R,1701169547,"Bọ Cạp, Kim Ngưu, Song Ngư, Sư Tử 24/7:
#trasuaolong",1953,9077,6693,2974,193,35,45,4,561
https://www.facebook.com/xalo.zodiac/posts/pfbid02BUugLq8T82NK2iDLjUrxsD51DSYzkpLoxDvCSh3nDMF4uyrk9zimE4J1hH34T3Czl?__cft__[0]=AZWmhdqR_JpF_QYFTSSzUXJvnci7AsyQbcO-VD3k2v-fPlVBGsUTcemK5gM0CgO2pYOjojJgohLXtw-jEORmnHDsJ_RVlkz33Y_VoqwwLLSImG6364laduRUgVwK9GBopt4IzR2-xiqrWrbZbPhvushs6Qo_9eTTfeKH-UEOd6U_mkYoyWxXmskg8LHX84XpHehIPPYiQoWQZCpFFSTPbLQq&__tn__=%2CO%2CP-R,1701097782,[Series] Review trải nghiệm yêu đương với Xử Nữ,6618,2389,5569,1159,245,51,31,6,746
https://www.facebook.com/xalo.zodiac/posts/pfbid02DUZajTPnGHYG4TmofD2xamxnqMhkmy5h33dDFYVadgbBdvPyuLwVdS53jgLCSM1Al?__cft__[0]=AZWQVXaJvcrz6NEMbRXVRHBXRvjZMrsEkQ8lHxwtw6ngJAP0GbTC8hPkimtGKmTSp0nAoThXT7nzuZPIF6haHr71mlxioL_Pks21_mqwzp6Sjstq_rkeuOZ9qJoQ9WsqFR_1raPLDCfTH5uhKiqN2Ij2_01lqLly7sMDVww7D1fdhWaB1eLK4aVfDSFwminWSqAQWgJa1-izlC01DsUYDLYs&__tn__=%2CO%2CP-R,1701090863,"Thông điệp tuần mới cho 12 cung hoàng đạo 
-----
Nếu bạn có nhu cầu xem Tarot và Bản đồ sao hãy inbox trực tiếp cho Xa Lộ Tarot nha ^^
#tarot
#zodiac
#xalozodiac",714,61,7970,75,5208,135,8,1,2962
https://www.facebook.com/xalo.zodiac/posts/pfbid02vd8ZAMchvfS2gA1m8KJPjEK3wVDkEXkrwRMQrWsQwCU7o1zHrJEmfbCYXF54xd59l?__cft__[0]=AZWQW7moG8tfhIDOHOhcd1HctFkmUWUjqxS5auwjpRHaJEXneWhGLhLTIJzeVrU2vgcuvGRKS4uD1lW9G5aw0QZLOp50VLqtYoc4tWn06xO6sMmmbGbONzX_38cGBkEdSZQ8azaDcgzcYiMTqOMyqhpvgSFPydD4uXbWdLM5ol6NrtGDo-QVHejs6TzvLBJnaeJ6FRODHRN5PGBTBnpJi1vP&__tn__=%2CO%2CP-R,1701084092,"Cách suy nghĩ của Kim Ngưu:
""Ai lại thèm thích kiểu người đáng yêu như cậu chứ"" = ""À hóa ra người ta không thích mình""
Cách suy nghĩ của Song Ngư:
""Tình cảm anh dành cho em từ trước đến nay không thay đổi"" = ""Anh ấy lúc mới đẻ đâu có iu mình, vậy ý anh ấy là cả đời cũng chưa từng iu mình 
"".
Đứa nghe sao tin vậy, đứa đem triệu năm tiến hóa ra làm căn cứ suy luận ",809,3685,3320,1244,94,11,9,3,205
